pr_gene_symbol	CPC020_MCF7_24H:BRD-A07780951-065-05-0:10
PSME1	-0.3307
ATF1	-0.0856
RHEB	-0.1083
FOXO3	-0.3512
RHOA	-0.5952
IL1B	0.7035
ASAH1	0.8628
RALA	-0.6789
ARHGEF12	1.1933
SOX2	0.5170
SERPINE1	-0.3675
HLA-DMA	-0.3637
EGF	0.5131
APP	-0.5576
NOS3	1.3913
CSNK1A1	-0.5874
NFATC4	0.1730
TBP	-0.0512
BRCA1	0.6021
PSMD4	0.7481
ETV1	-0.1986
TERT	-0.4098
EED	0.6179
PTK2B	-0.9523
HSPB1	0.4232
PIK3C3	-1.4445
CBLB	-0.9348
DFFB	-0.0696
TGFB3	0.2665
PRKX	0.1666
CCND1	0.7408
NFKBIB	0.2107
GLI2	0.1532
PIK3CA	-0.1574
RPS6	0.3000
DFFA	0.4272
SUZ12	-0.1722
TICAM1	0.1659
EDN1	-0.2501
SQSTM1	0.1502
HIF1A	0.2442
PTGS2	0.1407
PLA2G4A	-0.6701
MAT2A	1.3584
EIF4G1	0.2883
BTK	0.9333
MYL9	0.3261
PSMD2	0.4512
CLTC	0.9096
ALDOA	1.0037
STAT5B	0.5888
ETS1	0.0343
HSPD1	0.4990
CEBPA	0.4030
PSMF1	0.8508
ATF6	0.5049
RALB	0.4816
PPARD	-0.0035
STAT3	0.6924
DNMT3A	-0.0143
RASA1	0.3148
PSME2	0.3856
FGFR2	0.6872
CALM3	0.1693
ERO1L	0.5203
APOE	0.9373
PIK3R4	0.4053
CSNK1E	-0.1367
SKP1	0.0160
PROS1	-0.3617
PSMD9	0.5404
NFKB2	0.1415
PAK6	1.0820
GHR	-0.1524
CDK4	0.5784
PRKAG2	-0.4716
PTPRC	0.0265
SPTAN1	-0.2397
COL1A1	-0.5268
CDC25A	1.0997
TP53	0.4029
EGR1	-0.1199
MUC1	-0.4778
AURKB	-0.0035
NCK2	-0.4173
AURKA	0.5994
CDK5R1	0.1580
FYN	-0.5284
NRAS	0.1687
BNIP3L	-0.1122
MMP2	-0.3654
CDK7	-0.8703
RAC2	-0.4805
HMOX1	0.2635
COL4A1	-0.6245
ICAM1	-0.6137
C5	0.0237
NFKBIA	0.0852
NFKBIE	-0.1835
CCNH	-0.0990
HMGA2	-0.2618
IGFBP3	0.1086
FRS2	-0.7349
IFNAR1	-0.0078
MIF	-0.1556
DAG1	0.7272
IGF2BP2	0.2965
ERBB3	0.2260
FZD1	-0.7333
PIK3R3	0.2669
TFDP1	0.2532
SYK	-0.6417
EIF4EBP1	-0.3001
CCND3	-0.5884
PTPN6	0.2190
DUSP4	-0.9305
RB1	-0.2909
PARP1	1.1096
