pr_gene_symbol	CPC020_MCF7_24H:BRD-A07780951-065-05-0:10	CPC020_MCF7_24H:BRD-A87848830-001-01-9:10	CPC020_MCF7_24H:BRD-K00664012-001-01-2:10	CPC020_MCF7_24H:BRD-K02562327-001-01-6:10
PSME1	-0.3307	-0.4480	-0.3080	0.3051
ATF1	-0.0856	0.8239	-0.8571	-0.8214
RHEB	-0.1083	-0.3396	0.6748	0.6263
FOXO3	-0.3512	2.1172	1.2872	1.2944
RHOA	-0.5952	0.0668	0.2955	0.3101
IL1B	0.7035	0.0230	-0.2501	0.1784
ASAH1	0.8628	0.8384	0.6985	-0.3101
RALA	-0.6789	0.0522	-0.9629	0.3971
ARHGEF12	1.1933	0.4555	0.8868	2.5713
SOX2	0.5170	0.2212	-0.2945	0.6757
SERPINE1	-0.3675	2.4617	-1.2662	-0.4321
HLA-DMA	-0.3637	1.3867	1.8453	3.2077
EGF	0.5131	0.9040	-0.3145	-0.4263
APP	-0.5576	0.5363	-1.1030	0.0691
NOS3	1.3913	1.9353	-0.5373	-0.7901
CSNK1A1	-0.5874	0.8770	0.8236	-0.6307
NFATC4	0.1730	0.4074	-0.5714	0.7839
TBP	-0.0512	0.3058	0.1921	-0.6038
BRCA1	0.6021	0.4151	-0.8571	-2.9808
PSMD4	0.7481	0.0631	-0.2488	-0.7727
ETV1	-0.1986	1.7257	0.1554	-0.1931
TERT	-0.4098	1.0306	-0.4225	-1.1078
EED	0.6179	0.3932	-0.5973	-1.5744
PTK2B	-0.9523	0.0496	-0.3999	0.5965
HSPB1	0.4232	0.5011	0.7588	1.4333
PIK3C3	-1.4445	0.4904	-1.4897	-0.0711
CBLB	-0.9348	-0.6727	1.0679	1.0691
DFFB	-0.0696	0.3810	-0.4799	-0.6516
TGFB3	0.2665	0.4839	1.0269	0.9879
PRKX	0.1666	0.2812	-0.3966	0.2358
CCND1	0.7408	0.3375	0.0529	-0.9073
NFKBIB	0.2107	2.8368	0.4055	-0.9395
GLI2	0.1532	1.2116	1.5407	0.9286
PIK3CA	-0.1574	0.4987	-0.4376	-0.6760
RPS6	0.3000	0.0315	0.1964	0.4459
DFFA	0.4272	0.0470	-0.2167	1.0971
SUZ12	-0.1722	0.9466	-0.4359	-0.6180
TICAM1	0.1659	-0.0807	-0.2505	1.6155
EDN1	-0.2501	0.7482	-0.4317	0.0590
SQSTM1	0.1502	-0.3306	0.3740	0.9338
HIF1A	0.2442	0.4347	-0.3870	1.0321
PTGS2	0.1407	0.9974	-0.3647	-1.0305
PLA2G4A	-0.6701	0.2281	-0.7604	0.0418
MAT2A	1.3584	1.4157	0.1544	-0.7247
EIF4G1	0.2883	-0.2469	-0.3627	-0.5877
BTK	0.9333	0.5231	0.4333	-0.2268
MYL9	0.3261	0.3720	-0.4137	1.2305
PSMD2	0.4512	-0.9980	0.1346	-1.1564
CLTC	0.9096	-0.4950	0.9938	0.6005
ALDOA	1.0037	0.1010	0.0708	0.5683
STAT5B	0.5888	1.1932	0.3359	-0.2009
ETS1	0.0343	0.0976	0.2565	0.4561
HSPD1	0.4990	-0.0555	-0.0496	-1.2130
CEBPA	0.4030	0.2032	-0.0419	3.3985
PSMF1	0.8508	-0.0263	-0.3786	-0.4296
ATF6	0.5049	0.5226	-0.6020	0.1448
RALB	0.4816	1.1585	-0.7432	0.9181
PPARD	-0.0035	0.9075	1.7964	1.4962
STAT3	0.6924	-0.1517	0.2840	1.0190
DNMT3A	-0.0143	0.2301	-0.6625	-0.2958
RASA1	0.3148	-0.2215	1.8767	-0.2295
PSME2	0.3856	0.4029	0.3532	-1.3282
FGFR2	0.6872	0.2914	-0.5732	0.1391
CALM3	0.1693	0.8370	-0.1589	-0.3391
ERO1L	0.5203	0.0187	0.2332	0.4687
APOE	0.9373	0.7786	-0.5847	1.7029
PIK3R4	0.4053	-1.2941	-0.2262	-1.7519
CSNK1E	-0.1367	0.5322	-0.0189	1.1543
SKP1	0.0160	-1.2257	-0.0705	-0.6660
PROS1	-0.3617	0.3009	0.2687	2.3976
PSMD9	0.5404	-0.6108	0.6384	-0.3710
NFKB2	0.1415	1.3020	0.3661	-0.7809
PAK6	1.0820	-0.9554	0.5724	1.2682
GHR	-0.1524	0.6913	-0.2037	-1.1633
CDK4	0.5784	-0.0555	-0.4331	-2.1326
PRKAG2	-0.4716	1.3742	0.0543	0.6902
PTPRC	0.0265	0.3630	-0.4149	0.1678
SPTAN1	-0.2397	-0.8305	-0.6055	-0.2349
COL1A1	-0.5268	3.3252	0.7198	4.0617
CDC25A	1.0997	-0.3245	-0.5322	-3.4390
TP53	0.4029	0.7713	-0.2572	-2.8239
EGR1	-0.1199	-0.5159	-1.2026	0.5147
MUC1	-0.4778	-0.0850	0.1725	0.0659
AURKB	-0.0035	-0.1862	-0.4354	-0.1484
